Singular,Plural,Gloss,Sing-Pattern,Plur-Pattern,Plural-type,suffix,prefix
sbəʕ,sbuʕa,lion,CCəC,CCVCV,broken,a,
sdər,sdura,chest,CCəC,CCVCV,broken,a,
sqəf,squfa,ceiling,CCəC,CCVCV,broken,a,
STəħ,SToħa,roof,CCəC,CCVCV,broken,a,
STəl,STola,bucket,CCəC,CCVCV,broken,a,
Tbəl,Tbola,drum,CCəC,CCVCV,broken,a,
ʕDəm,ʕDoma,bone,CCəC,CCVCV,broken,a,
ʕʒəl,ʕʒula,calf,CCəC,CCVCV,broken,a,
Sbaħ,Sbuħa,morning,CCVC,CCVCV,broken,a,
səlk,sluka,wire,CəCC,CCVCV,broken,a,
Tərf,Trofa,fraction,CəCC,CCVCV,broken,a,
bəlʁa,blaʁi,blgha,CəCCV,CCVCV,broken,,
